declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
23,10,ID,Idaho                         ,0,2000-03-03T00:00:00.000Z,Major Disaster,ID-ROCKSLIDES-02-11-2000,Mud/Landslide,2000-01-30T00:00:00.000Z,,Turndown,2000-03-17T00:00:00.000Z,0,1,0,1,2000021103,2000-01-30T00:00:00.000Z,5b8897cf-ef43-4e05-a9ce-a3f84759e5e7
40,6,OK,Oklahoma                      ,0,2000-05-10T00:00:00.000Z,Major Disaster,OK-Tulsa Flooding-5-6-00,Flood,2000-05-05T00:00:00.000Z,2000-05-08T00:00:00.000Z,Turndown,2000-05-24T00:00:00.000Z,0,1,0,1,2000050701,2000-05-06T00:00:00.000Z,a72df3eb-7ecf-4348-9149-3af891a69662
46,6,LA,Louisiana                     ,0,2000-06-05T00:00:00.000Z,Major Disaster,LA-Tornado-North Louisiana-4/23/00,Tornado,2000-04-23T00:00:00.000Z,2000-04-24T00:00:00.000Z,Turndown,2000-06-21T00:00:00.000Z,0,1,0,1,2000042401,2000-04-23T00:00:00.000Z,ddb49ac5-60f5-40b4-bfc0-c58a3e0909a7
51,4,NC,North Carolina                ,0,2000-06-06T00:00:00.000Z,Major Disaster,NC -Severe Storms and Possible Tornados,Severe Storm,2000-05-25T00:00:00.000Z,2000-05-25T00:00:00.000Z,Turndown,2000-06-23T00:00:00.000Z,0,0,1,1,2000052601,2000-05-25T00:00:00.000Z,929ac0c0-0888-48ba-818f-a561ce0b241f
56,5,IL,Illinois                      ,0,2000-06-15T00:00:00.000Z,Major Disaster,"IL-Severe Storms, Tornadoes & Flooding-05/19/2000",Severe Storm,2000-05-18T00:00:00.000Z,2000-05-26T00:00:00.000Z,Turndown,2000-06-27T00:00:00.000Z,0,0,1,1,2000051901,2000-05-19T00:00:00.000Z,27a6da7b-3c36-4b11-b064-332b1563b608
79,6,TX,Texas                         ,0,2000-07-27T00:00:00.000Z,Emergency,TX-Fire Emergency Request-07-27-00,Fire,2000-07-27T00:00:00.000Z,,Turndown,2000-09-20T00:00:00.000Z,0,0,1,0,2000073101,2000-07-27T00:00:00.000Z,08494500-e622-4791-a299-d49a57dff621
93,1,CT,Connecticut                   ,0,2000-08-17T00:00:00.000Z,Major Disaster,CT Heavy Rains and Flooding 8-11-00,Severe Storm,2000-08-11T00:00:00.000Z,2000-08-12T00:00:00.000Z,Turndown,2000-09-21T00:00:00.000Z,0,1,0,1,2000081404,2000-08-11T00:00:00.000Z,27923c16-eebe-4d3f-a460-a0934c98af1b
138,6,AR,Arkansas                      ,0,2000-09-08T00:00:00.000Z,Emergency,AR-Extreme Fire Hazard-8/25/00,Fire,2000-08-25T00:00:00.000Z,,Turndown,2000-09-20T00:00:00.000Z,0,0,1,0,2000090803,2000-08-25T00:00:00.000Z,82a69a92-8512-472a-b9d7-cfbf3b817e3c
154,6,OK,Oklahoma                      ,0,2000-09-22T00:00:00.000Z,Emergency,OK-Severe Fire Threat-8/29/00,Fire,2000-09-15T00:00:00.000Z,,Turndown,2000-10-11T00:00:00.000Z,0,0,1,0,2000092205,2000-09-15T00:00:00.000Z,a08008ba-2645-4428-8db1-c60ede1acf96
155,5,WI,Wisconsin                     ,0,2000-09-22T00:00:00.000Z,Major Disaster," Wi-Eau Claire, Severe Storms and Flooding",Severe Storm,2000-09-10T00:00:00.000Z,2000-09-11T00:00:00.000Z,Turndown,2000-10-20T00:00:00.000Z,0,0,1,1,2000091401,2000-09-10T00:00:00.000Z,69ab0ec1-3289-4a41-86a5-7f0fca7784d7
162,2,NY,New York                      ,0,2000-10-10T00:00:00.000Z,Major Disaster,NY - Heavy Rains and Thunderstorms,Severe Storm,2000-09-02T00:00:00.000Z,2000-09-09T00:00:00.000Z,Turndown,2000-10-19T00:00:00.000Z,0,1,1,1,2000091202,2000-09-02T00:00:00.000Z,8d899edf-319a-448b-b0bd-03e7aac980fc
1006,2,NY,New York                      ,0,2001-01-16T00:00:00.000Z,Major Disaster,"NY Rain Dec17, 2000",Severe Storm,2000-12-16T00:00:00.000Z,2000-12-17T00:00:00.000Z,Turndown,2001-04-03T00:00:00.000Z,0,1,1,1,2000121901,2000-12-16T00:00:00.000Z,a0ffa482-e03c-49c9-b17c-340266e2b50a
1027,6,AR,Arkansas                      ,0,2001-03-02T00:00:00.000Z,Major Disaster,AR-Tornadoes-2-24-01,Tornado,2001-02-24T00:00:00.000Z,2001-02-25T00:00:00.000Z,Turndown,2001-03-16T00:00:00.000Z,0,1,0,0,2001022602,2001-02-24T00:00:00.000Z,de430c23-2d6a-4141-84d1-fd258bf8e547
1029,6,OK,Oklahoma                      ,0,2001-03-15T00:00:00.000Z,Major Disaster,OK-Ice Storm-1-27-01,Severe Ice Storm,2001-01-27T00:00:00.000Z,2001-01-29T00:00:00.000Z,Turndown,2001-04-03T00:00:00.000Z,0,0,1,1,2001030701,2001-01-27T00:00:00.000Z,4f87ff93-7589-4361-b420-4a0173847d6d
